iter	Passed	Remaining
424	2972	524
425	2978	517
426	2984	510
427	2990	503
428	2996	495
429	3002	488
430	3009	481
431	3016	474
432	3023	467
433	3031	461
434	3037	453
435	3047	447
436	3053	440
437	3060	433
438	3066	426
439	3072	418
440	3077	411
441	3083	404
442	3091	397
443	3098	390
444	3104	383
445	3109	376
446	3115	369
447	3121	362
448	3128	355
449	3133	348
450	3139	341
451	3145	334
452	3151	326
453	3160	320
454	3166	313
455	3173	306
456	3178	299
457	3187	292
458	3194	285
459	3200	278
460	3206	271
461	3212	264
462	3223	257
463	3232	250
464	3240	243
465	3250	237
466	3256	230
467	3262	223
468	3268	216
469	3274	209
470	3281	202
471	3288	195
472	3294	188
473	3300	181
474	3308	174
475	3314	167
476	3320	160
477	3326	153
478	3333	146
479	3339	139
480	3344	132
481	3350	125
482	3356	118
483	3362	111
484	3368	104
485	3374	97
486	3380	90
487	3386	83
488	3392	76
489	3400	69
490	3405	62
491	3411	55
492	3419	48
493	3424	41
494	3430	34
495	3436	27
496	3441	20
497	3447	13
498	3452	6
499	3458	0
